Patch,Name,Class,Role,Tier,Score,Trend,KDA,Type,Rate
12-2,Wukong,Fighter,JUNGLE,D,28.46,-4.46,2.43,Ban %,0.59%
12-2,Xayah,Marksman,ADC,B,38.77,-1.77,2.35,Win %,50.54%
12-2,Xayah,Marksman,ADC,B,38.77,-1.77,2.35,Role %,98.17%
12-2,Xayah,Marksman,ADC,B,38.77,-1.77,2.35,Pick %,3.10%
12-2,Xayah,Marksman,ADC,B,38.77,-1.77,2.35,Ban %,0.40%
12-2,Xerath,Mage,MID,A,55.28,2.03,3.26,Win %,51.28%
12-2,Xerath,Mage,MID,A,55.28,2.03,3.26,Role %,39.07%
12-2,Xerath,Mage,MID,A,55.28,2.03,3.26,Pick %,2.89%
12-2,Xerath,Mage,MID,A,55.28,2.03,3.26,Ban %,5.18%
12-2,Xerath,Mage,SUPPORT,A,46.93,-2.76,2.53,Win %,49.58%
12-2,Xerath,Mage,SUPPORT,A,46.93,-2.76,2.53,Role %,55.82%
12-2,Xerath,Mage,SUPPORT,A,46.93,-2.76,2.53,Pick %,4.29%
12-2,Xerath,Mage,SUPPORT,A,46.93,-2.76,2.53,Ban %,5.18%
12-2,Xin Zhao,Fighter,JUNGLE,S,62.72,5.68,2.45,Win %,50.81%
12-2,Xin Zhao,Fighter,JUNGLE,S,62.72,5.68,2.45,Role %,96.56%
12-2,Xin Zhao,Fighter,JUNGLE,S,62.72,5.68,2.45,Pick %,7.85%
12-2,Xin Zhao,Fighter,JUNGLE,S,62.72,5.68,2.45,Ban %,5.20%
12-2,Yasuo,Fighter,MID,God,91.15,4.99,1.78,Win %,50.51%
12-2,Yasuo,Fighter,MID,God,91.15,4.99,1.78,Role %,72.52%
12-2,Yasuo,Fighter,MID,God,91.15,4.99,1.78,Pick %,11.65%
12-2,Yasuo,Fighter,MID,God,91.15,4.99,1.78,Ban %,24.00%
12-2,Yasuo,Fighter,TOP,B,41.32,1.36,1.46,Win %,48.22%
12-2,Yasuo,Fighter,TOP,B,41.32,1.36,1.46,Role %,16.41%
12-2,Yasuo,Fighter,TOP,B,41.32,1.36,1.46,Pick %,2.55%
12-2,Yasuo,Fighter,TOP,B,41.32,1.36,1.46,Ban %,24.00%
12-2,Yasuo,Fighter,ADC,C,32.91,-1.5,1.97,Win %,49.98%
12-2,Yasuo,Fighter,ADC,C,32.91,-1.5,1.97,Role %,10.51%
12-2,Yasuo,Fighter,ADC,C,32.91,-1.5,1.97,Pick %,1.62%
12-2,Yasuo,Fighter,ADC,C,32.91,-1.5,1.97,Ban %,24.00%
12-2,Yone,Assassin,TOP,S,72.95,1.08,1.62,Win %,48.70%
12-2,Yone,Assassin,TOP,S,72.95,1.08,1.62,Role %,38.63%
12-2,Yone,Assassin,TOP,S,72.95,1.08,1.62,Pick %,5.30%
12-2,Yone,Assassin,TOP,S,72.95,1.08,1.62,Ban %,23.93%
12-2,Yone,Assassin,MID,S,72.38,-1.79,1.85,Win %,48.24%
12-2,Yone,Assassin,MID,S,72.38,-1.79,1.85,Role %,59.62%
12-2,Yone,Assassin,MID,S,72.38,-1.79,1.85,Pick %,8.83%
12-2,Yone,Assassin,MID,S,72.38,-1.79,1.85,Ban %,23.93%
12-2,Yorick,Fighter,TOP,A,49.59,3.52,1.61,Win %,52.94%
12-2,Yorick,Fighter,TOP,A,49.59,3.52,1.61,Role %,97.21%
12-2,Yorick,Fighter,TOP,A,49.59,3.52,1.61,Pick %,2.69%
12-2,Yorick,Fighter,TOP,A,49.59,3.52,1.61,Ban %,2.47%
12-2,Yuumi,Support,SUPPORT,God,87.74,8.01,4.1,Win %,48.07%
12-2,Yuumi,Support,SUPPORT,God,87.74,8.01,4.1,Role %,98.86%
12-2,Yuumi,Support,SUPPORT,God,87.74,8.01,4.1,Pick %,10.85%
12-2,Yuumi,Support,SUPPORT,God,87.74,8.01,4.1,Ban %,27.62%
12-2,Zac,Tank,JUNGLE,A,55.58,-2.24,3.47,Win %,50.98%
12-2,Zac,Tank,JUNGLE,A,55.58,-2.24,3.47,Role %,86.05%
12-2,Zac,Tank,JUNGLE,A,55.58,-2.24,3.47,Pick %,4.24%
12-2,Zac,Tank,JUNGLE,A,55.58,-2.24,3.47,Ban %,2.12%
12-2,Zed,Assassin,MID,God,81.36,-9.14,2.29,Win %,50.77%
12-2,Zed,Assassin,MID,God,81.36,-9.14,2.29,Role %,71.06%
12-2,Zed,Assassin,MID,God,81.36,-9.14,2.29,Pick %,7.55%
12-2,Zed,Assassin,MID,God,81.36,-9.14,2.29,Ban %,35.39%
12-2,Zed,Assassin,JUNGLE,B,39.25,-9.93,2.39,Win %,47.35%
12-2,Zed,Assassin,JUNGLE,B,39.25,-9.93,2.39,Role %,25.53%
12-2,Zed,Assassin,JUNGLE,B,39.25,-9.93,2.39,Pick %,2.48%
12-2,Zed,Assassin,JUNGLE,B,39.25,-9.93,2.39,Ban %,35.39%
12-2,Zeri,Marksman,ADC,God,86.11,0,2.23,Win %,48.38%
12-2,Zeri,Marksman,ADC,God,86.11,0,2.23,Role %,75.27%
12-2,Zeri,Marksman,ADC,God,86.11,0,2.23,Pick %,17.13%
12-2,Zeri,Marksman,ADC,God,86.11,0,2.23,Ban %,34.16%
12-2,Zeri,Marksman,MID,B,43.21,0,2.01,Win %,46.87%
12-2,Zeri,Marksman,MID,B,43.21,0,2.01,Role %,12.78%
12-2,Zeri,Marksman,MID,B,43.21,0,2.01,Pick %,2.69%
12-2,Zeri,Marksman,MID,B,43.21,0,2.01,Ban %,34.16%
12-2,Ziggs,Mage,MID,B,41.8,5.36,2.45,Win %,50.59%
12-2,Ziggs,Mage,MID,B,41.8,5.36,2.45,Role %,30.03%
12-2,Ziggs,Mage,MID,B,41.8,5.36,2.45,Pick %,0.92%
12-2,Ziggs,Mage,MID,B,41.8,5.36,2.45,Ban %,0.47%
12-2,Ziggs,Mage,ADC,B,41.15,-2.48,2.58,Win %,52.23%
12-2,Ziggs,Mage,ADC,B,41.15,-2.48,2.58,Role %,63.47%
12-2,Ziggs,Mage,ADC,B,41.15,-2.48,2.58,Pick %,1.89%
12-2,Ziggs,Mage,ADC,B,41.15,-2.48,2.58,Ban %,0.46%
12-2,Zilean,Support,MID,A,53.06,0.86,3.47,Win %,53.20%
12-2,Zilean,Support,MID,A,53.06,0.86,3.47,Role %,21.93%
12-2,Zilean,Support,MID,A,53.06,0.86,3.47,Pick %,0.98%
12-2,Zilean,Support,MID,A,53.06,0.86,3.47,Ban %,2.00%
12-2,Zilean,Support,SUPPORT,A,47.14,-2.3,3.12,Win %,50.10%
12-2,Zilean,Support,SUPPORT,A,47.14,-2.3,3.12,Role %,73.12%
12-2,Zilean,Support,SUPPORT,A,47.14,-2.3,3.12,Pick %,3.37%
12-2,Zilean,Support,SUPPORT,A,47.14,-2.3,3.12,Ban %,2.00%
12-2,Zoe,Mage,MID,A,47.71,-2.06,2.56,Win %,49.43%
12-2,Zoe,Mage,MID,A,47.71,-2.06,2.56,Role %,94.46%
12-2,Zoe,Mage,MID,A,47.71,-2.06,2.56,Pick %,3.05%
12-2,Zoe,Mage,MID,A,47.71,-2.06,2.56,Ban %,1.17%
12-2,Zyra,Mage,SUPPORT,A,48.17,-1.39,2.16,Win %,52.21%
12-2,Zyra,Mage,SUPPORT,A,48.17,-1.39,2.16,Role %,93.51%
12-2,Zyra,Mage,SUPPORT,A,48.17,-1.39,2.16,Pick %,3.68%
12-2,Zyra,Mage,SUPPORT,A,48.17,-1.39,2.16,Ban %,1.97%
12-3,Aatrox,Fighter,TOP,S,59.99,4.88,1.87,Win %,48.06%
12-3,Aatrox,Fighter,TOP,S,59.99,4.88,1.87,Role %,92.58%
12-3,Aatrox,Fighter,TOP,S,59.99,4.88,1.87,Pick %,5.03%
12-3,Aatrox,Fighter,TOP,S,59.99,4.88,1.87,Ban %,2.15%
12-3,Ahri,Mage,MID,God,95.22,39.37,2.59,Win %,53.40%
12-3,Ahri,Mage,MID,God,95.22,39.37,2.59,Role %,94.04%
12-3,Ahri,Mage,MID,God,95.22,39.37,2.59,Pick %,15.29%
12-3,Ahri,Mage,MID,God,95.22,39.37,2.59,Ban %,8.93%
12-3,Akali,Assassin,TOP,S,74.79,-12.94,2.08,Win %,48.48%
12-3,Akali,Assassin,TOP,S,74.79,-12.94,2.08,Role %,41.25%
12-3,Akali,Assassin,TOP,S,74.79,-12.94,2.08,Pick %,5.10%
12-3,Akali,Assassin,TOP,S,74.79,-12.94,2.08,Ban %,20.26%
12-3,Akali,Assassin,MID,S,64.77,-9.81,2.33,Win %,49.10%
12-3,Akali,Assassin,MID,S,64.77,-9.81,2.33,Role %,58.10%
12-3,Akali,Assassin,MID,S,64.77,-9.81,2.33,Pick %,7.51%
12-3,Akali,Assassin,MID,S,64.77,-9.81,2.33,Ban %,20.26%
12-3,Akshan,Marksman,MID,A,54.42,-9.08,2.18,Win %,50.75%
12-3,Akshan,Marksman,MID,A,54.42,-9.08,2.18,Role %,59.43%
12-3,Akshan,Marksman,MID,A,54.42,-9.08,2.18,Pick %,4.14%
12-3,Akshan,Marksman,MID,A,54.42,-9.08,2.18,Ban %,18.73%
12-3,Akshan,Marksman,TOP,B,40.57,-16.3,1.93,Win %,49.62%
12-3,Akshan,Marksman,TOP,B,40.57,-16.3,1.93,Role %,31.36%
12-3,Akshan,Marksman,TOP,B,40.57,-16.3,1.93,Pick %,2.06%
12-3,Akshan,Marksman,TOP,B,40.57,-16.3,1.93,Ban %,18.73%
12-3,Alistar,Tank,SUPPORT,B,43,-0.56,2.5,Win %,49.98%
12-3,Alistar,Tank,SUPPORT,B,43,-0.56,2.5,Role %,96.98%
12-3,Alistar,Tank,SUPPORT,B,43,-0.56,2.5,Pick %,3.11%
12-3,Alistar,Tank,SUPPORT,B,43,-0.56,2.5,Ban %,0.65%
12-3,Amumu,Tank,JUNGLE,B,44.95,-8.6,2.41,Win %,51.06%
12-3,Amumu,Tank,JUNGLE,B,44.95,-8.6,2.41,Role %,85.43%
12-3,Amumu,Tank,JUNGLE,B,44.95,-8.6,2.41,Pick %,2.80%
12-3,Amumu,Tank,JUNGLE,B,44.95,-8.6,2.41,Ban %,1.43%
12-3,Amumu,Tank,SUPPORT,D,29.3,-2.07,1.98,Win %,49.13%
12-3,Amumu,Tank,SUPPORT,D,29.3,-2.07,1.98,Role %,10.96%
12-3,Amumu,Tank,SUPPORT,D,29.3,-2.07,1.98,Pick %,0.33%
12-3,Amumu,Tank,SUPPORT,D,29.3,-2.07,1.98,Ban %,1.67%
12-3,Anivia,Mage,MID,A,52.75,-1.9,2.57,Win %,52.46%
12-3,Anivia,Mage,MID,A,52.75,-1.9,2.57,Role %,80.00%
12-3,Anivia,Mage,MID,A,52.75,-1.9,2.57,Pick %,2.77%
12-3,Anivia,Mage,MID,A,52.75,-1.9,2.57,Ban %,2.92%
12-3,Anivia,Mage,SUPPORT,D,31.19,5.53,2.18,Win %,49.43%
12-3,Anivia,Mage,SUPPORT,D,31.19,5.53,2.18,Role %,13.07%
12-3,Anivia,Mage,SUPPORT,D,31.19,5.53,2.18,Pick %,0.42%
12-3,Anivia,Mage,SUPPORT,D,31.19,5.53,2.18,Ban %,2.90%
12-3,Annie,Mage,MID,A,47.39,1.7,2.37,Win %,51.74%
12-3,Annie,Mage,MID,A,47.39,1.7,2.37,Role %,84.73%
12-3,Annie,Mage,MID,A,47.39,1.7,2.37,Pick %,1.79%
12-3,Annie,Mage,MID,A,47.39,1.7,2.37,Ban %,0.64%
12-3,Aphelios,Marksman,ADC,B,43.7,6.18,2.05,Win %,47.49%
12-3,Aphelios,Marksman,ADC,B,43.7,6.18,2.05,Role %,97.83%
12-3,Aphelios,Marksman,ADC,B,43.7,6.18,2.05,Pick %,8.43%
12-3,Aphelios,Marksman,ADC,B,43.7,6.18,2.05,Ban %,1.45%
12-3,Ashe,Marksman,ADC,B,45.08,8.2,2.32,Win %,50.04%
12-3,Ashe,Marksman,ADC,B,45.08,8.2,2.32,Role %,90.27%
12-3,Ashe,Marksman,ADC,B,45.08,8.2,2.32,Pick %,4.87%
12-3,Ashe,Marksman,ADC,B,45.08,8.2,2.32,Ban %,0.86%
12-3,Aurelion Sol,Mage,MID,B,45.15,3.37,2.47,Win %,51.39%
12-3,Aurelion Sol,Mage,MID,B,45.15,3.37,2.47,Role %,88.89%
12-3,Aurelion Sol,Mage,MID,B,45.15,3.37,2.47,Pick %,1.07%
12-3,Aurelion Sol,Mage,MID,B,45.15,3.37,2.47,Ban %,0.32%
12-3,Azir,Mage,MID,C,36.5,2.6,2.05,Win %,47.17%
12-3,Azir,Mage,MID,C,36.5,2.6,2.05,Role %,91.03%
12-3,Azir,Mage,MID,C,36.5,2.6,2.05,Pick %,1.35%
12-3,Azir,Mage,MID,C,36.5,2.6,2.05,Ban %,0.24%
12-3,Bard,Support,SUPPORT,B,43.52,-4.83,2.9,Win %,49.02%
12-3,Bard,Support,SUPPORT,B,43.52,-4.83,2.9,Role %,91.85%
12-3,Bard,Support,SUPPORT,B,43.52,-4.83,2.9,Pick %,3.30%
12-3,Bard,Support,SUPPORT,B,43.52,-4.83,2.9,Ban %,0.78%
12-3,Blitzcrank,Tank,SUPPORT,S,74.26,1.32,2.46,Win %,52.29%
12-3,Blitzcrank,Tank,SUPPORT,S,74.26,1.32,2.46,Role %,98.29%
12-3,Blitzcrank,Tank,SUPPORT,S,74.26,1.32,2.46,Pick %,8.74%
12-3,Blitzcrank,Tank,SUPPORT,S,74.26,1.32,2.46,Ban %,19.48%
12-3,Brand,Mage,SUPPORT,B,45.88,4.43,1.84,Win %,51.05%
12-3,Brand,Mage,SUPPORT,B,45.88,4.43,1.84,Role %,69.87%
12-3,Brand,Mage,SUPPORT,B,45.88,4.43,1.84,Pick %,3.90%
12-3,Brand,Mage,SUPPORT,B,45.88,4.43,1.84,Ban %,5.35%
12-3,Brand,Mage,ADC,B,42.64,0,2.2,Win %,52.18%
12-3,Brand,Mage,ADC,B,42.64,0,2.2,Role %,11.72%
12-3,Brand,Mage,ADC,B,42.64,0,2.2,Pick %,0.47%
12-3,Brand,Mage,ADC,B,42.64,0,2.2,Ban %,5.35%
12-3,Brand,Mage,MID,B,39.84,1.97,1.98,Win %,49.94%
12-3,Brand,Mage,MID,B,39.84,1.97,1.98,Role %,15.98%
12-3,Brand,Mage,MID,B,39.84,1.97,1.98,Pick %,0.88%
12-3,Brand,Mage,MID,B,39.84,1.97,1.98,Ban %,5.83%
12-3,Braum,Support,SUPPORT,B,40.71,0.26,2.77,Win %,49.74%
12-3,Braum,Support,SUPPORT,B,40.71,0.26,2.77,Role %,98.14%
12-3,Braum,Support,SUPPORT,B,40.71,0.26,2.77,Pick %,2.23%
12-3,Braum,Support,SUPPORT,B,40.71,0.26,2.77,Ban %,0.30%
12-3,Caitlyn,Marksman,ADC,A,56.81,-27.42,2.19,Win %,47.97%
12-3,Caitlyn,Marksman,ADC,A,56.81,-27.42,2.19,Role %,97.73%
12-3,Caitlyn,Marksman,ADC,A,56.81,-27.42,2.19,Pick %,14.93%
12-3,Caitlyn,Marksman,ADC,A,56.81,-27.42,2.19,Ban %,15.56%
12-3,Camille,Fighter,TOP,God,77.72,-4.16,1.9,Win %,49.93%
12-3,Camille,Fighter,TOP,God,77.72,-4.16,1.9,Role %,95.98%
12-3,Camille,Fighter,TOP,God,77.72,-4.16,1.9,Pick %,6.04%
12-3,Camille,Fighter,TOP,God,77.72,-4.16,1.9,Ban %,5.64%
12-3,Cassiopeia,Mage,MID,A,47.89,0.28,2.11,Win %,52.08%
12-3,Cassiopeia,Mage,MID,A,47.89,0.28,2.11,Role %,68.57%
12-3,Cassiopeia,Mage,MID,A,47.89,0.28,2.11,Pick %,2.16%
12-3,Cassiopeia,Mage,MID,A,47.89,0.28,2.11,Ban %,1.47%
12-3,Cassiopeia,Mage,ADC,B,44.97,0,2.43,Win %,52.85%
12-3,Cassiopeia,Mage,ADC,B,44.97,0,2.43,Role %,12.54%
12-3,Cassiopeia,Mage,ADC,B,44.97,0,2.43,Pick %,0.44%
12-3,Cassiopeia,Mage,ADC,B,44.97,0,2.43,Ban %,1.47%
12-3,Cassiopeia,Mage,TOP,D,22.56,-5.86,1.88,Win %,50.12%
12-3,Cassiopeia,Mage,TOP,D,22.56,-5.86,1.88,Role %,17.92%
12-3,Cassiopeia,Mage,TOP,D,22.56,-5.86,1.88,Pick %,0.58%
12-3,Cassiopeia,Mage,TOP,D,22.56,-5.86,1.88,Ban %,1.47%
12-3,Cho'Gath,Tank,MID,B,45.74,6.99,2.37,Win %,52.89%
12-3,Cho'Gath,Tank,MID,B,45.74,6.99,2.37,Role %,19.49%
12-3,Cho'Gath,Tank,MID,B,45.74,6.99,2.37,Pick %,0.53%
12-3,Cho'Gath,Tank,MID,B,45.74,6.99,2.37,Ban %,0.87%
12-3,Cho'Gath,Tank,TOP,B,44.36,-2.69,2.11,Win %,50.77%
12-3,Cho'Gath,Tank,TOP,B,44.36,-2.69,2.11,Role %,67.99%
12-3,Cho'Gath,Tank,TOP,B,44.36,-2.69,2.11,Pick %,2.49%
12-3,Cho'Gath,Tank,TOP,B,44.36,-2.69,2.11,Ban %,0.87%
12-3,Corki,Marksman,MID,B,44.44,-23.58,2.04,Win %,46.03%
12-3,Corki,Marksman,MID,B,44.44,-23.58,2.04,Role %,92.93%
12-3,Corki,Marksman,MID,B,44.44,-23.58,2.04,Pick %,4.60%
12-3,Corki,Marksman,MID,B,44.44,-23.58,2.04,Ban %,3.46%
12-3,Darius,Fighter,TOP,God,88.09,4.92,1.83,Win %,50.10%
12-3,Darius,Fighter,TOP,God,88.09,4.92,1.83,Role %,94.03%
12-3,Darius,Fighter,TOP,God,88.09,4.92,1.83,Pick %,6.39%
12-3,Darius,Fighter,TOP,God,88.09,4.92,1.83,Ban %,14.75%
12-3,Diana,Fighter,JUNGLE,God,84.9,-6.39,2.48,Win %,52.29%
12-3,Diana,Fighter,JUNGLE,God,84.9,-6.39,2.48,Role %,85.23%
12-3,Diana,Fighter,JUNGLE,God,84.9,-6.39,2.48,Pick %,11.65%
12-3,Diana,Fighter,JUNGLE,God,84.9,-6.39,2.48,Ban %,17.00%
12-3,Diana,Fighter,MID,A,47.18,0.6,2.14,Win %,51.77%
12-3,Diana,Fighter,MID,A,47.18,0.6,2.14,Role %,13.35%
12-3,Diana,Fighter,MID,A,47.18,0.6,2.14,Pick %,1.74%
12-3,Diana,Fighter,MID,A,47.18,0.6,2.14,Ban %,17.00%
12-3,Dr. Mundo,Marksman,TOP,A,57.67,-0.47,2.18,Win %,51.95%
12-3,Dr. Mundo,Marksman,TOP,A,57.67,-0.47,2.18,Role %,89.17%
12-3,Dr. Mundo,Marksman,TOP,A,57.67,-0.47,2.18,Pick %,3.40%
12-3,Dr. Mundo,Marksman,TOP,A,57.67,-0.47,2.18,Ban %,2.68%
12-3,Draven,Fighter,ADC,B,44.25,-0.57,2.11,Win %,49.77%
12-3,Draven,Fighter,ADC,B,44.25,-0.57,2.11,Role %,94.52%
12-3,Draven,Fighter,ADC,B,44.25,-0.57,2.11,Pick %,5.06%
12-3,Draven,Fighter,ADC,B,44.25,-0.57,2.11,Ban %,8.91%
12-3,Ekko,Assassin,JUNGLE,A,54.49,-2.72,2.69,Win %,50.47%
12-3,Ekko,Assassin,JUNGLE,A,54.49,-2.72,2.69,Role %,65.25%
12-3,Ekko,Assassin,JUNGLE,A,54.49,-2.72,2.69,Pick %,5.49%
12-3,Ekko,Assassin,JUNGLE,A,54.49,-2.72,2.69,Ban %,3.51%
12-3,Ekko,Assassin,MID,B,45.95,-3.09,2.23,Win %,49.76%
12-3,Ekko,Assassin,MID,B,45.95,-3.09,2.23,Role %,32.09%
12-3,Ekko,Assassin,MID,B,45.95,-3.09,2.23,Pick %,2.62%
12-3,Ekko,Assassin,MID,B,45.95,-3.09,2.23,Ban %,3.51%
12-3,Elise,Mage,JUNGLE,B,41.49,0.08,2.51,Win %,50.48%
12-3,Elise,Mage,JUNGLE,B,41.49,0.08,2.51,Role %,92.70%
12-3,Elise,Mage,JUNGLE,B,41.49,0.08,2.51,Pick %,1.97%
12-3,Elise,Mage,JUNGLE,B,41.49,0.08,2.51,Ban %,1.22%
12-3,Evelynn,Assassin,JUNGLE,B,43.12,-4.87,2.78,Win %,47.82%
12-3,Evelynn,Assassin,JUNGLE,B,43.12,-4.87,2.78,Role %,98.21%
12-3,Evelynn,Assassin,JUNGLE,B,43.12,-4.87,2.78,Pick %,3.52%
12-3,Evelynn,Assassin,JUNGLE,B,43.12,-4.87,2.78,Ban %,7.23%
12-3,Ezreal,Marksman,ADC,S,61.47,-9.74,2.36,Win %,49.18%
12-3,Ezreal,Marksman,ADC,S,61.47,-9.74,2.36,Role %,96.44%
12-3,Ezreal,Marksman,ADC,S,61.47,-9.74,2.36,Pick %,18.18%
12-3,Ezreal,Marksman,ADC,S,61.47,-9.74,2.36,Ban %,4.43%
12-3,Fiddlesticks,Mage,JUNGLE,A,47.98,3.35,2.67,Win %,51.71%
12-3,Fiddlesticks,Mage,JUNGLE,A,47.98,3.35,2.67,Role %,90.80%
12-3,Fiddlesticks,Mage,JUNGLE,A,47.98,3.35,2.67,Pick %,2.84%
12-3,Fiddlesticks,Mage,JUNGLE,A,47.98,3.35,2.67,Ban %,2.24%
12-3,Fiora,Fighter,TOP,God,87.66,9.35,1.71,Win %,49.82%
12-3,Fiora,Fighter,TOP,God,87.66,9.35,1.71,Role %,97.43%
12-3,Fiora,Fighter,TOP,God,87.66,9.35,1.71,Pick %,6.70%
12-3,Fiora,Fighter,TOP,God,87.66,9.35,1.71,Ban %,11.89%
12-3,Fizz,Assassin,MID,A,52.7,-0.21,2.42,Win %,51.15%
12-3,Fizz,Assassin,MID,A,52.7,-0.21,2.42,Role %,95.49%
12-3,Fizz,Assassin,MID,A,52.7,-0.21,2.42,Pick %,3.69%
12-3,Fizz,Assassin,MID,A,52.7,-0.21,2.42,Ban %,4.75%
12-3,Galio,Tank,MID,A,47.47,3.42,2.62,Win %,50.90%
12-3,Galio,Tank,MID,A,47.47,3.42,2.62,Role %,61.00%
12-3,Galio,Tank,MID,A,47.47,3.42,2.62,Pick %,1.91%
12-3,Galio,Tank,MID,A,47.47,3.42,2.62,Ban %,0.45%
12-3,Galio,Tank,SUPPORT,D,30.49,1.85,2.29,Win %,47.83%
12-3,Galio,Tank,SUPPORT,D,30.49,1.85,2.29,Role %,35.19%
12-3,Galio,Tank,SUPPORT,D,30.49,1.85,2.29,Pick %,1.07%
12-3,Galio,Tank,SUPPORT,D,30.49,1.85,2.29,Ban %,0.45%
12-3,Gangplank,Fighter,TOP,S,70.48,9.67,2.01,Win %,48.92%
12-3,Gangplank,Fighter,TOP,S,70.48,9.67,2.01,Role %,86.33%
12-3,Gangplank,Fighter,TOP,S,70.48,9.67,2.01,Pick %,5.63%
12-3,Gangplank,Fighter,TOP,S,70.48,9.67,2.01,Ban %,4.06%
12-3,Gangplank,Fighter,MID,C,38.23,0.39,2.21,Win %,48.34%
12-3,Gangplank,Fighter,MID,C,38.23,0.39,2.21,Role %,13.35%
12-3,Gangplank,Fighter,MID,C,38.23,0.39,2.21,Pick %,0.93%
12-3,Gangplank,Fighter,MID,C,38.23,0.39,2.21,Ban %,4.12%
12-3,Garen,Fighter,TOP,God,82.01,4.69,2,Win %,51.13%
12-3,Garen,Fighter,TOP,God,82.01,4.69,2,Role %,87.32%
12-3,Garen,Fighter,TOP,God,82.01,4.69,2,Pick %,6.21%
12-3,Garen,Fighter,TOP,God,82.01,4.69,2,Ban %,3.12%
12-3,Gnar,Fighter,TOP,B,41.53,-5.84,1.9,Win %,48.80%
12-3,Gnar,Fighter,TOP,B,41.53,-5.84,1.9,Role %,94.95%
12-3,Gnar,Fighter,TOP,B,41.53,-5.84,1.9,Pick %,2.94%
12-3,Gnar,Fighter,TOP,B,41.53,-5.84,1.9,Ban %,0.58%
12-3,Gragas,Fighter,TOP,B,46.72,4.06,2.2,Win %,49.22%
12-3,Gragas,Fighter,TOP,B,46.72,4.06,2.2,Role %,54.17%
12-3,Gragas,Fighter,TOP,B,46.72,4.06,2.2,Pick %,3.12%
12-3,Gragas,Fighter,TOP,B,46.72,4.06,2.2,Ban %,0.52%
12-3,Gragas,Fighter,JUNGLE,C,37.69,3.09,2.74,Win %,48.80%
12-3,Gragas,Fighter,JUNGLE,C,37.69,3.09,2.74,Role %,29.71%
12-3,Gragas,Fighter,JUNGLE,C,37.69,3.09,2.74,Pick %,1.53%
12-3,Gragas,Fighter,JUNGLE,C,37.69,3.09,2.74,Ban %,0.52%
12-3,Graves,Marksman,JUNGLE,S,65.56,9.64,2.63,Win %,51.09%
12-3,Graves,Marksman,JUNGLE,S,65.56,9.64,2.63,Role %,69.56%
12-3,Graves,Marksman,JUNGLE,S,65.56,9.64,2.63,Pick %,8.13%
12-3,Graves,Marksman,JUNGLE,S,65.56,9.64,2.63,Ban %,6.91%
12-3,Graves,Marksman,TOP,B,42.75,5.97,1.72,Win %,49.76%
12-3,Graves,Marksman,TOP,B,42.75,5.97,1.72,Role %,23.87%
12-3,Graves,Marksman,TOP,B,42.75,5.97,1.72,Pick %,2.73%
12-3,Graves,Marksman,TOP,B,42.75,5.97,1.72,Ban %,6.91%
12-3,Gwen,Fighter,TOP,God,77.29,10.76,1.7,Win %,48.59%
12-3,Gwen,Fighter,TOP,God,77.29,10.76,1.7,Role %,64.80%
12-3,Gwen,Fighter,TOP,God,77.29,10.76,1.7,Pick %,6.35%
12-3,Gwen,Fighter,TOP,God,77.29,10.76,1.7,Ban %,7.75%
12-3,Gwen,Fighter,JUNGLE,B,45.3,7.61,2.4,Win %,50.04%
12-3,Gwen,Fighter,JUNGLE,B,45.3,7.61,2.4,Role %,32.14%
12-3,Gwen,Fighter,JUNGLE,B,45.3,7.61,2.4,Pick %,3.29%
12-3,Gwen,Fighter,JUNGLE,B,45.3,7.61,2.4,Ban %,7.75%
12-3,Hecarim,Fighter,JUNGLE,S,66.99,-13.62,2.88,Win %,49.67%
12-3,Hecarim,Fighter,JUNGLE,S,66.99,-13.62,2.88,Role %,98.67%
12-3,Hecarim,Fighter,JUNGLE,S,66.99,-13.62,2.88,Pick %,8.35%
12-3,Hecarim,Fighter,JUNGLE,S,66.99,-13.62,2.88,Ban %,13.53%
12-3,Heimerdinger,Mage,ADC,B,43.02,7.81,2.11,Win %,52.83%
12-3,Heimerdinger,Mage,ADC,B,43.02,7.81,2.11,Role %,12.60%
12-3,Heimerdinger,Mage,ADC,B,43.02,7.81,2.11,Pick %,0.28%
12-3,Heimerdinger,Mage,ADC,B,43.02,7.81,2.11,Ban %,1.25%
12-3,Heimerdinger,Mage,MID,B,41.32,1.79,1.93,Win %,51.11%
12-3,Heimerdinger,Mage,MID,B,41.32,1.79,1.93,Role %,37.80%
12-3,Heimerdinger,Mage,MID,B,41.32,1.79,1.93,Pick %,0.82%
12-3,Heimerdinger,Mage,MID,B,41.32,1.79,1.93,Ban %,1.16%
12-3,Heimerdinger,Mage,SUPPORT,D,30.94,0.68,1.84,Win %,50.34%
12-3,Heimerdinger,Mage,SUPPORT,D,30.94,0.68,1.84,Role %,12.05%
12-3,Heimerdinger,Mage,SUPPORT,D,30.94,0.68,1.84,Pick %,0.24%
12-3,Heimerdinger,Mage,SUPPORT,D,30.94,0.68,1.84,Ban %,1.25%
12-3,Heimerdinger,Mage,TOP,D,20.69,-0.44,1.59,Win %,49.44%
12-3,Heimerdinger,Mage,TOP,D,20.69,-0.44,1.59,Role %,37.87%
12-3,Heimerdinger,Mage,TOP,D,20.69,-0.44,1.59,Pick %,0.82%
12-3,Heimerdinger,Mage,TOP,D,20.69,-0.44,1.59,Ban %,1.25%
